Student_ID,Semster_Name,Paper 1,Paper 2,Paper 3,Paper 4,Paper 5,Paper 6,Paper 7,percentage,sum,Department_ID,Department_Name,,Section
SID20152484,Sem_7,,83,100,73,97,92,99,90.66666667,544,IDEPT2054,Aerospace Engineering,,A
SID20185208,Sem_8,82,100,,95,87,90,84,89.66666667,538,IDEPT4132,Aerospace Engineering,,A
SID20174773,Sem_7,85,97,94,87,70,99,90,88.85714286,622,IDEPT2357,Aerospace Engineering,,A
SID20188508,Sem_7,92,83,81,96,100,,78,88.33333333,530,IDEPT5528,Aerospace Engineering,,A
SID20141516,Sem_8,80,82,100,95,83,99,78,88.14285714,617,IDEPT5528,Aerospace Engineering,,A
SID20162498,Sem_7,98,100,53,91,91,93,88,87.71428571,614,IDEPT5881,Aerospace Engineering,,A
SID20145874,Sem_7,74,76,99,98,76,93,94,87.14285714,610,IDEPT3115,Aerospace Engineering,,A
SID20139442,Sem_7,92,83,94,91,96,94,60,87.14285714,610,IDEPT2054,Aerospace Engineering,,A
SID20145874,Sem_7,74,76,99,98,76,93,94,87.14285714,610,IDEPT3115,Aerospace Engineering,,A
SID20138442,Sem_7,51,100,96,100,93,88,81,87,609,IDEPT5881,Aerospace Engineering,,A
SID20164424,Sem_7,94,88,89,93,74,83,88,87,609,IDEPT2357,Aerospace Engineering,,A
SID20164424,Sem_7,94,88,89,93,74,83,88,87,609,IDEPT2357,Aerospace Engineering,,A
SID20171718,Sem_7,99,83,99,86,87,99,54,86.71428571,607,IDEPT3115,Aerospace Engineering,,A
SID20145348,Sem_7,100,92,62,88,70,100,95,86.71428571,607,IDEPT2357,Aerospace Engineering,,A
SID20161379,Sem_8,99,99,99,66,94,,62,86.5,519,IDEPT4938,Aerospace Engineering,,A
SID20131978,Sem_7,92,99,84,87,97,90,56,86.42857143,605,IDEPT4670,Aerospace Engineering,,A
SID20146539,Sem_7,97,87,93,54,95,83,94,86.14285714,603,IDEPT1537,Aerospace Engineering,,A
SID20135792,Sem_7,93,98,95,81,77,91,68,86.14285714,603,IDEPT5881,Aerospace Engineering,,A
SID20164596,Sem_8,87,65,83,98,99,97,74,86.14285714,603,IDEPT5881,Aerospace Engineering,,A
SID20144729,Sem_8,75,92,84,95,75,81,98,85.71428571,600,IDEPT4670,Aerospace Engineering,,A
SID20138514,Sem_7,90,74,71,94,85,86,99,85.57142857,599,IDEPT3115,Aerospace Engineering,,A
SID20171657,Sem_7,68,96,72,99,90,92,82,85.57142857,599,IDEPT5881,Aerospace Engineering,,A
SID20183050,Sem_8,69,84,98,65,98,99,84,85.28571429,597,IDEPT5528,Aerospace Engineering,,A
SID20153340,Sem_7,74,99,90,58,87,88,100,85.14285714,596,IDEPT4938,Aerospace Engineering,,A
SID20185756,Sem_8,93,87,89,79,100,88,59,85,595,IDEPT4132,Aerospace Engineering,,A
SID20152437,Sem_8,84,95,95,97,88,78,58,85,595,IDEPT1423,Aerospace Engineering,,A
SID20148031,Sem_7,68,100,81,98,72,78,98,85,595,IDEPT1423,Aerospace Engineering,,A
SID20186661,Sem_8,89,81,47,99,94,84,100,84.85714286,594,IDEPT1423,Aerospace Engineering,,A
SID20178787,Sem_7,82,94,96,99,66,57,100,84.85714286,594,IDEPT3115,Aerospace Engineering,,A
SID20139469,Sem_7,95,88,76,78,87,73,97,84.85714286,594,IDEPT3115,Aerospace Engineering,,A
SID20189126,Sem_8,75,77,100,78,80,98,,84.66666667,508,IDEPT5528,Aerospace Engineering,,A
SID20133823,Sem_8,70,81,99,68,98,96,80,84.57142857,592,IDEPT4670,Aerospace Engineering,,A
SID20132556,Sem_7,84,98,96,73,93,88,60,84.57142857,592,IDEPT4132,Aerospace Engineering,,A
SID20157678,Sem_7,67,82,100,94,77,86,86,84.57142857,592,IDEPT4132,Aerospace Engineering,,A
SID20144705,Sem_7,99,76,86,79,79,88,,84.5,507,IDEPT4938,Aerospace Engineering,,A
SID20164028,Sem_7,98,80,68,95,75,,90,84.33333333,506,IDEPT1537,Aerospace Engineering,,A
SID20143823,Sem_8,99,81,86,69,88,76,91,84.28571429,590,IDEPT2054,Aerospace Engineering,,A
SID20143823,Sem_8,99,81,86,69,88,76,91,84.28571429,590,IDEPT2054,Aerospace Engineering,,A
SID20154800,Sem_8,82,89,88,69,98,87,77,84.28571429,590,IDEPT1537,Aerospace Engineering,,A
SID20161915,Sem_7,90,78,88,68,76,100,90,84.28571429,590,IDEPT5528,Aerospace Engineering,,A
SID20188687,Sem_7,97,59,79,84,77,96,97,84.14285714,589,IDEPT4938,Aerospace Engineering,,A
SID20159002,Sem_7,48,57,100,96,98,92,96,83.85714286,587,IDEPT1537,Aerospace Engineering,,A
SID20151227,Sem_8,100,100,62,80,87,95,63,83.85714286,587,IDEPT1423,Aerospace Engineering,,A
SID20171710,Sem_8,72,98,92,86,73,99,66,83.71428571,586,IDEPT4938,Aerospace Engineering,,A
SID20132913,Sem_8,90,100,71,88,97,98,42,83.71428571,586,IDEPT4132,Aerospace Engineering,,A
SID20158434,Sem_8,96,95,85,96,59,86,69,83.71428571,586,IDEPT4132,Aerospace Engineering,,A
SID20187041,Sem_7,84,100,63,98,75,71,94,83.57142857,585,IDEPT4938,Aerospace Engineering,,A
SID20189892,Sem_8,84,92,79,,85,90,71,83.5,501,IDEPT3115,Aerospace Engineering,,A
SID20159307,Sem_8,87,96,98,73,71,67,91,83.28571429,583,IDEPT4132,Aerospace Engineering,,A
SID20131331,Sem_8,84,93,76,49,98,84,99,83.28571429,583,IDEPT2054,Aerospace Engineering,,A
SID20184750,Sem_7,74,72,93,96,62,87,97,83,581,IDEPT4132,Aerospace Engineering,,A
SID20177337,Sem_7,97,65,95,60,99,65,100,83,581,IDEPT1537,Aerospace Engineering,,A
