Student_ID,Semster_Name,Paper 1,Paper 2,Paper 3,Paper 4,Paper 5,Paper 6,Paper 7,percentage,sum,Department_ID,Department_Name,,Section
SID20142395,Sem_5,99,98,96,80,,99,96,94.66666667,568,IDEPT5528,Aerospace Engineering,,A
SID20168676,Sem_5,95,90,100,97,86,74,96,91.14285714,638,IDEPT2357,Aerospace Engineering,,A
SID20138453,Sem_5,84,88,93,92,,93,91,90.16666667,541,IDEPT4670,Aerospace Engineering,,A
SID20151227,Sem_5,99,66,86,93,93,97,91,89.28571429,625,IDEPT1423,Aerospace Engineering,,A
SID20148562,Sem_6,82,89,86,81,96,99,89,88.85714286,622,IDEPT2054,Aerospace Engineering,,A
SID20173147,Sem_6,96,85,99,78,86,93,75,87.42857143,612,IDEPT4132,Aerospace Engineering,,A
SID20168650,Sem_5,95,95,70,69,93,96,94,87.42857143,612,IDEPT2054,Aerospace Engineering,,A
SID20163387,Sem_6,71,97,100,91,91,99,61,87.14285714,610,IDEPT5881,Aerospace Engineering,,A
SID20185016,Sem_5,95,86,89,,73,97,82,87,522,IDEPT3115,Aerospace Engineering,,A
SID20175257,Sem_5,68,91,,96,90,89,,86.8,434,IDEPT5528,Aerospace Engineering,,A
SID20164957,Sem_6,,93,86,,70,97,87,86.6,433,IDEPT2054,Aerospace Engineering,,A
SID20158507,Sem_6,79,67,96,93,94,95,82,86.57142857,606,IDEPT3115,Aerospace Engineering,,A
SID20137021,Sem_6,100,84,56,92,94,90,89,86.42857143,605,IDEPT4938,Aerospace Engineering,,A
SID20188802,Sem_6,77,91,96,100,68,75,94,85.85714286,601,IDEPT1423,Aerospace Engineering,,A
SID20162967,Sem_6,91,98,74,97,75,71,92,85.42857143,598,IDEPT4670,Aerospace Engineering,,A
SID20145225,Sem_6,90,90,82,94,100,84,58,85.42857143,598,IDEPT4670,Aerospace Engineering,,A
SID20137984,Sem_6,95,79,84,97,100,92,51,85.42857143,598,IDEPT3115,Aerospace Engineering,,A
SID20165822,Sem_5,96,89,95,94,92,51,80,85.28571429,597,IDEPT3115,Aerospace Engineering,,A
SID20156764,Sem_6,93,88,93,92,84,61,86,85.28571429,597,IDEPT4132,Aerospace Engineering,,A
SID20154009,Sem_5,72,97,83,97,79,100,68,85.14285714,596,IDEPT4938,Aerospace Engineering,,A
SID20149468,Sem_6,93,99,98,43,76,93,94,85.14285714,596,IDEPT3115,Aerospace Engineering,,A
SID20167688,Sem_6,69,80,92,84,89,86,95,85,595,IDEPT2054,Aerospace Engineering,,A
SID20177096,Sem_6,67,94,89,67,85,95,97,84.85714286,594,IDEPT1537,Aerospace Engineering,,A
SID20158712,Sem_6,91,87,100,87,89,46,94,84.85714286,594,IDEPT1537,Aerospace Engineering,,A
SID20183845,Sem_5,79,75,92,81,98,87,81,84.71428571,593,IDEPT4938,Aerospace Engineering,,A
SID20143800,Sem_5,95,86,98,99,58,83,74,84.71428571,593,IDEPT3115,Aerospace Engineering,,A
SID20135905,Sem_5,72,81,94,77,98,91,80,84.71428571,593,IDEPT5528,Aerospace Engineering,,A
SID20189800,Sem_6,50,88,74,98,97,86,99,84.57142857,592,IDEPT1537,Aerospace Engineering,,A
SID20188692,Sem_5,82,76,85,84,,96,84,84.5,507,IDEPT2357,Aerospace Engineering,,A
SID20145599,Sem_5,93,87,86,85,71,82,87,84.42857143,591,IDEPT1423,Aerospace Engineering,,A
SID20188786,Sem_6,72,90,82,68,89,93,97,84.42857143,591,IDEPT1537,Aerospace Engineering,,A
SID20147629,Sem_5,90,96,98,88,85,66,66,84.14285714,589,IDEPT4132,Aerospace Engineering,,A
SID20136705,Sem_5,73,66,91,94,80,96,88,84,588,IDEPT2054,Aerospace Engineering,,A
SID20182563,Sem_6,90,74,95,85,89,85,69,83.85714286,587,IDEPT1537,Aerospace Engineering,,A
SID20179236,Sem_5,97,91,82,85,43,92,97,83.85714286,587,IDEPT5881,Aerospace Engineering,,A
SID20182563,Sem_6,90,74,95,85,89,85,69,83.85714286,587,IDEPT1537,Aerospace Engineering,,A
SID20178709,Sem_5,92,94,65,90,,68,94,83.83333333,503,IDEPT5881,Aerospace Engineering,,A
SID20152987,Sem_5,96,91,96,70,91,94,48,83.71428571,586,IDEPT2054,Aerospace Engineering,,A
SID20147171,Sem_5,83,93,71,93,74,,88,83.66666667,502,IDEPT3115,Aerospace Engineering,,A
SID20135178,Sem_6,87,65,90,,100,75,85,83.66666667,502,IDEPT3115,Aerospace Engineering,,A
SID20152464,Sem_5,73,96,,65,80,95,93,83.66666667,502,IDEPT5528,Aerospace Engineering,,A
SID20158434,Sem_6,51,90,82,97,94,76,95,83.57142857,585,IDEPT4132,Aerospace Engineering,,A
SID20139469,Sem_6,73,82,93,98,82,75,82,83.57142857,585,IDEPT3115,Aerospace Engineering,,A
SID20145453,Sem_6,92,92,94,98,53,58,98,83.57142857,585,IDEPT1423,Aerospace Engineering,,A
SID20134491,Sem_6,73,99,98,71,70,100,73,83.42857143,584,IDEPT4670,Aerospace Engineering,,A
SID20164713,Sem_5,88,,84,77,88,66,97,83.33333333,500,IDEPT1423,Aerospace Engineering,,A
SID20177826,Sem_5,86,79,80,83,91,99,65,83.28571429,583,IDEPT2054,Aerospace Engineering,,A
SID20181383,Sem_5,92,94,96,94,62,80,65,83.28571429,583,IDEPT4670,Aerospace Engineering,,A
SID20137616,Sem_5,89,98,92,84,92,61,66,83.14285714,582,IDEPT4670,Aerospace Engineering,,A
SID20159972,Sem_6,87,91,86,82,82,73,80,83,581,IDEPT1537,Aerospace Engineering,,A
SID20164136,Sem_6,96,92,84,88,57,95,69,83,581,IDEPT4938,Aerospace Engineering,,A
SID20152923,Sem_6,80,80,76,99,81,89,76,83,581,IDEPT1423,Aerospace Engineering,,A
SID20163684,Sem_6,85,97,88,52,86,74,99,83,581,IDEPT1537,Aerospace Engineering,,A
SID20147523,Sem_6,86,95,77,100,67,88,67,82.85714286,580,IDEPT1537,Aerospace Engineering,,A
SID20147523,Sem_6,86,95,77,100,67,88,67,82.85714286,580,IDEPT1537,Aerospace Engineering,,A
SID20159707,Sem_6,63,53,92,91,92,94,95,82.85714286,580,IDEPT5528,Aerospace Engineering,,A
SID20171578,Sem_6,93,98,47,86,75,85,96,82.85714286,580,IDEPT3115,Aerospace Engineering,,A
SID20131420,Sem_5,97,97,80,72,84,89,60,82.71428571,579,IDEPT3115,Aerospace Engineering,,A
SID20162498,Sem_6,90,77,87,92,46,100,87,82.71428571,579,IDEPT5881,Aerospace Engineering,,A
SID20171417,Sem_5,99,98,81,96,61,79,65,82.71428571,579,IDEPT1537,Aerospace Engineering,,A
SID20174108,Sem_5,89,99,84,60,88,86,72,82.57142857,578,IDEPT4670,Aerospace Engineering,,A
SID20178013,Sem_5,70,91,85,83,80,100,69,82.57142857,578,IDEPT4938,Aerospace Engineering,,A
SID20156326,Sem_6,83,79,79,78,82,96,81,82.57142857,578,IDEPT4938,Aerospace Engineering,,A
SID20167705,Sem_5,87,46,63,97,99,99,87,82.57142857,578,IDEPT2054,Aerospace Engineering,,A
SID20178013,Sem_5,70,91,85,83,80,100,69,82.57142857,578,IDEPT4938,Aerospace Engineering,,A
SID20165869,Sem_5,88,54,94,94,86,75,87,82.57142857,578,IDEPT1423,Aerospace Engineering,,A
SID20164531,Sem_6,83,,81,58,97,96,80,82.5,495,IDEPT5881,Aerospace Engineering,,A
SID20164531,Sem_6,83,,81,58,97,96,80,82.5,495,IDEPT5881,Aerospace Engineering,,A
SID20173644,Sem_5,86,80,87,65,81,87,91,82.42857143,577,IDEPT5881,Aerospace Engineering,,A
SID20149391,Sem_6,94,97,80,65,95,59,87,82.42857143,577,IDEPT4938,Aerospace Engineering,,A
SID20148359,Sem_6,93,89,77,65,100,91,61,82.28571429,576,IDEPT1537,Aerospace Engineering,,A
SID20155882,Sem_6,82,66,49,89,97,100,93,82.28571429,576,IDEPT2357,Aerospace Engineering,,A
SID20155882,Sem_6,82,66,49,89,97,100,93,82.28571429,576,IDEPT2357,Aerospace Engineering,,A
SID20168088,Sem_5,71,84,98,52,92,84,95,82.28571429,576,IDEPT5528,Aerospace Engineering,,A
SID20136246,Sem_6,100,88,91,91,99,49,57,82.14285714,575,IDEPT4132,Aerospace Engineering,,A
SID20145772,Sem_6,52,73,97,87,89,83,94,82.14285714,575,IDEPT4132,Aerospace Engineering,,A
SID20148500,Sem_6,76,76,83,86,86,79,89,82.14285714,575,IDEPT4670,Aerospace Engineering,,A
SID20155559,Sem_5,,97,87,95,96,66,51,82,492,IDEPT3115,Aerospace Engineering,,A
SID20182517,Sem_5,75,96,84,96,,88,53,82,492,IDEPT2054,Aerospace Engineering,,A
SID20185028,Sem_5,86,100,55,67,92,76,98,82,574,IDEPT3115,Aerospace Engineering,,A
SID20178323,Sem_5,84,84,91,89,85,47,94,82,574,IDEPT4670,Aerospace Engineering,,A
SID20175581,Sem_5,96,100,100,88,47,58,85,82,574,IDEPT4938,Aerospace Engineering,,A
SID20152305,Sem_6,80,70,93,,99,91,59,82,492,IDEPT5881,Aerospace Engineering,,A
SID20148274,Sem_6,98,83,49,94,100,61,89,82,574,IDEPT4938,Aerospace Engineering,,A
SID20142751,Sem_6,95,57,91,87,88,68,88,82,574,IDEPT3115,Aerospace Engineering,,A
