Student_ID,Semster_Name,Paper 1,Paper 2,Paper 3,Paper 4,Paper 5,Paper 6,Paper 7,percentage,sum,Department_ID,Department_Name,,Section
SID20132830,Sem_1,86,99,98,99,93,97,81,93.28571429,653,IDEPT1423,Aerospace Engineering,,A
SID20132830,Sem_1,86,99,98,99,93,97,81,93.28571429,653,IDEPT1423,Aerospace Engineering,,A
SID20156326,Sem_2,97,90,97,86,73,94,94,90.14285714,631,IDEPT4938,Aerospace Engineering,,A
SID20177096,Sem_1,97,94,98,80,,93,78,90,540,IDEPT1537,Aerospace Engineering,,A
SID20183291,Sem_2,67,97,82,97,98,94,94,89.85714286,629,IDEPT1537,Aerospace Engineering,,A
SID20162803,Sem_1,88,98,83,71,92,92,94,88.28571429,618,IDEPT2357,Aerospace Engineering,,A
SID20179698,Sem_2,88,76,97,97,82,91,87,88.28571429,618,IDEPT2054,Aerospace Engineering,,A
SID20188786,Sem_2,98,90,88,100,62,98,82,88.28571429,618,IDEPT1537,Aerospace Engineering,,A
SID20189892,Sem_1,91,97,73,89,82,87,96,87.85714286,615,IDEPT3115,Aerospace Engineering,,A
SID20155799,Sem_1,94,91,82,84,64,100,99,87.71428571,614,IDEPT5528,Aerospace Engineering,,A
SID20165547,Sem_2,99,93,80,92,84,77,84,87,609,IDEPT4132,Aerospace Engineering,,A
SID20134491,Sem_2,83,89,,82,80,95,93,87,522,IDEPT4670,Aerospace Engineering,,A
SID20186100,Sem_2,85,94,96,75,81,91,85,86.71428571,607,IDEPT4938,Aerospace Engineering,,A
SID20168784,Sem_2,,85,72,72,96,97,98,86.66666667,520,IDEPT1423,Aerospace Engineering,,A
SID20181457,Sem_1,97,85,87,74,88,98,77,86.57142857,606,IDEPT2054,Aerospace Engineering,,A
SID20151284,Sem_1,79,80,81,86,89,92,99,86.57142857,606,IDEPT1423,Aerospace Engineering,,A
SID20142437,Sem_1,91,92,81,64,95,86,96,86.42857143,605,IDEPT5881,Aerospace Engineering,,A
SID20142437,Sem_1,91,92,81,64,95,86,96,86.42857143,605,IDEPT5881,Aerospace Engineering,,A
SID20144956,Sem_1,97,77,67,98,86,100,77,86,602,IDEPT2357,Aerospace Engineering,,A
SID20188687,Sem_1,100,83,66,98,100,64,89,85.71428571,600,IDEPT4938,Aerospace Engineering,,A
SID20167688,Sem_2,89,87,96,57,80,94,96,85.57142857,599,IDEPT2054,Aerospace Engineering,,A
SID20135785,Sem_1,74,94,96,77,58,99,100,85.42857143,598,IDEPT2357,Aerospace Engineering,,A
SID20131823,Sem_1,97,90,56,87,87,96,85,85.42857143,598,IDEPT5881,Aerospace Engineering,,A
SID20164120,Sem_2,79,95,84,99,65,84,91,85.28571429,597,IDEPT4132,Aerospace Engineering,,A
SID20152580,Sem_2,100,90,,88,99,46,88,85.16666667,511,IDEPT1537,Aerospace Engineering,,A
SID20186758,Sem_2,98,93,68,80,94,76,87,85.14285714,596,IDEPT1423,Aerospace Engineering,,A
SID20159227,Sem_1,90,99,81,82,89,81,72,84.85714286,594,IDEPT3115,Aerospace Engineering,,A
SID20162369,Sem_2,86,81,77,90,94,87,78,84.71428571,593,IDEPT4670,Aerospace Engineering,,A
SID20136912,Sem_2,97,94,88,65,78,92,77,84.42857143,591,IDEPT2357,Aerospace Engineering,,A
SID20142918,Sem_2,92,60,83,85,80,94,97,84.42857143,591,IDEPT4670,Aerospace Engineering,,A
SID20156933,Sem_2,78,93,96,95,80,50,99,84.42857143,591,IDEPT1423,Aerospace Engineering,,A
SID20156272,Sem_1,92,73,76,100,74,86,89,84.28571429,590,IDEPT3115,Aerospace Engineering,,A
SID20138939,Sem_2,66,,87,82,97,89,,84.2,421,IDEPT5528,Aerospace Engineering,,A
SID20164136,Sem_1,95,87,95,,92,61,74,84,504,IDEPT4938,Aerospace Engineering,,A
SID20149692,Sem_2,58,88,89,91,84,81,96,83.85714286,587,IDEPT5881,Aerospace Engineering,,A
SID20139190,Sem_1,90,91,90,95,90,40,91,83.85714286,587,IDEPT2054,Aerospace Engineering,,A
SID20163318,Sem_2,92,99,98,77,93,81,47,83.85714286,587,IDEPT2054,Aerospace Engineering,,A
SID20156438,Sem_1,88,91,93,71,81,84,78,83.71428571,586,IDEPT4132,Aerospace Engineering,,A
SID20163436,Sem_2,95,81,94,63,88,81,83,83.57142857,585,IDEPT2357,Aerospace Engineering,,A
SID20147597,Sem_2,100,56,90,86,97,84,71,83.42857143,584,IDEPT4670,Aerospace Engineering,,A
SID20166621,Sem_1,100,75,88,86,72,69,94,83.42857143,584,IDEPT2054,Aerospace Engineering,,A
SID20148611,Sem_1,96,77,94,77,59,98,82,83.28571429,583,IDEPT4670,Aerospace Engineering,,A
SID20144263,Sem_2,91,86,75,81,84,80,86,83.28571429,583,IDEPT5881,Aerospace Engineering,,A
SID20148611,Sem_1,96,77,94,77,59,98,82,83.28571429,583,IDEPT4670,Aerospace Engineering,,A
SID20163387,Sem_1,99,94,71,87,91,85,54,83,581,IDEPT5881,Aerospace Engineering,,A
SID20131433,Sem_1,93,62,87,96,97,81,63,82.71428571,579,IDEPT3115,Aerospace Engineering,,A
SID20136021,Sem_2,100,91,91,63,47,97,90,82.71428571,579,IDEPT1537,Aerospace Engineering,,A
SID20138683,Sem_1,73,96,94,98,60,80,78,82.71428571,579,IDEPT3115,Aerospace Engineering,,A
SID20132626,Sem_2,86,90,,56,84,83,97,82.66666667,496,IDEPT2054,Aerospace Engineering,,A
SID20176207,Sem_1,73,,68,88,100,67,100,82.66666667,496,IDEPT5528,Aerospace Engineering,,A
SID20177799,Sem_2,76,,92,78,73,95,82,82.66666667,496,IDEPT1537,Aerospace Engineering,,A
SID20141728,Sem_1,81,68,97,72,97,73,90,82.57142857,578,IDEPT4670,Aerospace Engineering,,A
