Student_ID,Semster_Name,Paper 1,Paper 2,Paper 3,Paper 4,Paper 5,Paper 6,Paper 7,percentage,sum,Department_ID,Department_Name,Section
SID20165922,Sem_7,100.0,86.0,84.0,99.0,98.0,63.0,97.0,89.57142857,627,IDEPT1096,ESE,A
SID20175732,Sem_7,89.0,97.0,95.0,70.0,92.0,75.0,94.0,87.42857143,612,IDEPT1615,ESE,A
SID20169653,Sem_7,78.0,100.0,95.0,87.0,60.0,93.0,96.0,87.0,609,IDEPT7626,ESE,A
SID20172371,Sem_7,97.0,48.0,93.0,89.0,100.0,94.0,87.0,86.85714286,608,IDEPT8825,ESE,A
SID20138360,Sem_7,87.0,97.0,90.0,77.0,91.0,91.0,69.0,86.0,602,IDEPT5564,ESE,A
SID20186610,Sem_7,82.0,98.0,99.0,76.0,82.0,96.0,67.0,85.71428571,600,IDEPT5109,ESE,A
SID20152988,Sem_7,96.0,97.0,54.0,95.0,89.0,100.0,67.0,85.42857143,598,IDEPT1615,ESE,A
SID20151268,Sem_7,83.0,72.0,98.0,90.0,78.0,97.0,76.0,84.85714286,594,IDEPT1677,ESE,A
SID20145606,Sem_7,64.0,97.0,98.0,98.0,75.0,87.0,75.0,84.85714286,594,IDEPT1677,ESE,A
SID20168479,Sem_7,94.0,81.0,63.0,94.0,82.0,88.0,91.0,84.71428571,593,IDEPT5564,ESE,A
SID20152081,Sem_7,95.0,96.0,,71.0,85.0,79.0,82.0,84.66666667,508,IDEPT6347,ESE,A
SID20166756,Sem_7,100.0,52.0,100.0,92.0,98.0,62.0,88.0,84.57142857,592,IDEPT5564,ESE,A
SID20187596,Sem_7,97.0,68.0,100.0,86.0,86.0,56.0,97.0,84.28571429,590,IDEPT5564,ESE,A
SID20189926,Sem_7,44.0,98.0,99.0,94.0,82.0,85.0,88.0,84.28571429,590,IDEPT1836,ESE,A
SID20187973,Sem_7,86.0,85.0,89.0,97.0,99.0,70.0,63.0,84.14285714,589,IDEPT5564,ESE,A
SID20139236,Sem_7,77.0,92.0,88.0,63.0,80.0,88.0,98.0,83.71428571,586,IDEPT8825,ESE,A
SID20157919,Sem_7,79.0,78.0,92.0,88.0,69.0,85.0,95.0,83.71428571,586,IDEPT1677,ESE,A
SID20177506,Sem_7,96.0,95.0,,81.0,100.0,54.0,75.0,83.5,501,IDEPT1836,ESE,A
SID20177506,Sem_7,96.0,95.0,,81.0,100.0,54.0,75.0,83.5,501,IDEPT1836,ESE,A
SID20186575,Sem_7,98.0,87.0,89.0,87.0,97.0,68.0,58.0,83.42857143,584,IDEPT7626,ESE,A
SID20169877,Sem_7,89.0,88.0,80.0,95.0,71.0,78.0,83.0,83.42857143,584,IDEPT4308,ESE,A
SID20149986,Sem_7,75.0,94.0,95.0,54.0,90.0,90.0,86.0,83.42857143,584,IDEPT1096,ESE,A
