Student_ID,Semster_Name,Paper 1,Paper 2,Paper 3,Paper 4,Paper 5,Paper 6,Paper 7,percentage,sum,Department_ID,Department_Name
SID20131618,Sem_1,95.0,66.0,90.0,99.0,100.0,97.0,93.0,91.42857143,640,IDEPT2601,ME 
SID20183160,Sem_1,91.0,69.0,98.0,97.0,90.0,96.0,94.0,90.71428571,635,IDEPT8473,ME 
SID20153364,Sem_1,86.0,92.0,93.0,70.0,84.0,97.0,99.0,88.71428571,621,IDEPT2601,ME 
SID20154878,Sem_1,97.0,91.0,78.0,97.0,53.0,97.0,81.0,84.85714286,594,IDEPT8473,ME 
SID20189452,Sem_1,81.0,76.0,98.0,91.0,100.0,,61.0,84.5,507,IDEPT3868,ME 
SID20158457,Sem_1,84.0,93.0,85.0,95.0,87.0,100.0,47.0,84.42857143,591,IDEPT8473,ME 
SID20159927,Sem_1,99.0,98.0,61.0,71.0,67.0,99.0,93.0,84.0,588,IDEPT2601,ME 
SID20171381,Sem_1,78.0,95.0,99.0,87.0,41.0,99.0,85.0,83.42857143,584,IDEPT2601,ME 
SID20158335,Sem_1,73.0,84.0,88.0,97.0,71.0,93.0,77.0,83.28571429,583,IDEPT8598,ME 
SID20168562,Sem_1,95.0,78.0,76.0,83.0,67.0,98.0,86.0,83.28571429,583,IDEPT2601,ME 
SID20161803,Sem_1,73.0,83.0,67.0,84.0,94.0,98.0,,83.16666667,499,IDEPT3868,ME 
SID20164982,Sem_1,,93.0,98.0,59.0,82.0,75.0,91.0,83.0,498,IDEPT8598,ME 
SID20183927,Sem_1,90.0,92.0,82.0,63.0,95.0,83.0,72.0,82.42857143,577,IDEPT2601,ME 
SID20151682,Sem_1,94.0,49.0,91.0,75.0,73.0,97.0,98.0,82.42857143,577,IDEPT8598,ME 
SID20183997,Sem_1,71.0,73.0,78.0,87.0,67.0,98.0,100.0,82.0,574,IDEPT8598,ME 
SID20181493,Sem_1,93.0,94.0,43.0,88.0,81.0,100.0,74.0,81.85714286,573,IDEPT8598,ME 
SID20137152,Sem_1,83.0,52.0,86.0,81.0,100.0,99.0,72.0,81.85714286,573,IDEPT2601,ME 
SID20137336,Sem_1,45.0,92.0,71.0,96.0,94.0,80.0,95.0,81.85714286,573,IDEPT2601,ME 
SID20164310,Sem_1,47.0,95.0,88.0,100.0,97.0,62.0,82.0,81.57142857,571,IDEPT8473,ME 
SID20165791,Sem_1,84.0,88.0,55.0,53.0,100.0,93.0,98.0,81.57142857,571,IDEPT8598,ME 
SID20141431,Sem_1,79.0,98.0,60.0,,99.0,58.0,92.0,81.0,486,IDEPT8598,ME 
SID20175559,Sem_1,99.0,49.0,46.0,96.0,96.0,,98.0,80.66666667,484,IDEPT3868,ME 
SID20166498,Sem_1,100.0,73.0,99.0,81.0,69.0,91.0,51.0,80.57142857,564,IDEPT8473,ME 
SID20155054,Sem_1,65.0,74.0,87.0,100.0,62.0,90.0,86.0,80.57142857,564,IDEPT8598,ME 
SID20169927,Sem_1,76.0,50.0,96.0,85.0,92.0,99.0,65.0,80.42857143,563,IDEPT8598,ME 
SID20167175,Sem_1,97.0,74.0,95.0,42.0,97.0,55.0,99.0,79.85714286,559,IDEPT2601,ME 
SID20149831,Sem_1,92.0,82.0,63.0,96.0,73.0,74.0,77.0,79.57142857,557,IDEPT2601,ME 
SID20153877,Sem_1,68.0,76.0,92.0,76.0,68.0,99.0,78.0,79.57142857,557,IDEPT8598,ME 
SID20175931,Sem_1,71.0,91.0,61.0,96.0,94.0,51.0,92.0,79.42857143,556,IDEPT2601,ME 
SID20144302,Sem_1,67.0,76.0,56.0,85.0,90.0,90.0,92.0,79.42857143,556,IDEPT8473,ME 
SID20177144,Sem_1,45.0,75.0,100.0,97.0,62.0,92.0,84.0,79.28571429,555,IDEPT3868,ME 
SID20162159,Sem_1,91.0,83.0,94.0,94.0,40.0,75.0,78.0,79.28571429,555,IDEPT3868,ME 
SID20134101,Sem_1,92.0,61.0,70.0,81.0,85.0,83.0,81.0,79.0,553,IDEPT8598,ME 
SID20161608,Sem_1,54.0,94.0,98.0,87.0,54.0,68.0,98.0,79.0,553,IDEPT8473,ME 
SID20167514,Sem_1,95.0,21.0,99.0,88.0,79.0,81.0,90.0,79.0,553,IDEPT3868,ME 
SID20184893,Sem_1,90.0,81.0,90.0,49.0,60.0,92.0,90.0,78.85714286,552,IDEPT8598,ME 
SID20133235,Sem_1,74.0,97.0,68.0,76.0,94.0,76.0,67.0,78.85714286,552,IDEPT8598,ME 
SID20131477,Sem_1,81.0,91.0,77.0,65.0,60.0,95.0,82.0,78.71428571,551,IDEPT3868,ME 
SID20153869,Sem_1,88.0,86.0,45.0,,70.0,99.0,84.0,78.66666667,472,IDEPT8473,ME 
SID20149854,Sem_1,72.0,76.0,63.0,93.0,92.0,70.0,84.0,78.57142857,550,IDEPT3868,ME 
SID20163403,Sem_1,48.0,90.0,99.0,95.0,97.0,43.0,77.0,78.42857143,549,IDEPT8598,ME 
SID20153592,Sem_1,51.0,85.0,67.0,97.0,93.0,87.0,68.0,78.28571429,548,IDEPT3868,ME 
SID20131830,Sem_1,90.0,46.0,93.0,80.0,83.0,73.0,83.0,78.28571429,548,IDEPT8473,ME 
SID20186342,Sem_1,96.0,76.0,46.0,80.0,,87.0,84.0,78.16666667,469,IDEPT8598,ME 
