Student_ID,Semster_Name,Paper 1,Paper 2,Paper 3,Paper 4,Paper 5,Paper 6,Paper 7,percentage,sum,section,Department_Name
SID20131143,Sem_7,80,56,91,71,57,92,77,74.85714286,524,A,Aerospace Engineering
SID20131144,Sem_7,52,67,77,,64,70,61,65.16666667,391,A,Aerospace Engineering
SID20131145,Sem_7,58,98,74,42,70,75,52,67,469,A,Aerospace Engineering
SID20131146,Sem_7,82,51,40,40,57,81,76,61,427,A,Aerospace Engineering
SID20131147,Sem_7,56,75,71,51,48,83,90,67.71428571,474,A,Aerospace Engineering
SID20131148,Sem_7,62,98,77,97,65,78,92,81.28571429,569,B,Aerospace Engineering
SID20131149,Sem_7,59,91,43,71,65,63,63,65,455,B,Aerospace Engineering
SID20131150,Sem_7,40,44,27,52,44,82,88,53.85714286,377,B,Aerospace Engineering
SID20131151,Sem_7,63,58,46,54,74,51,65,58.71428571,411,B,Aerospace Engineering
SID20131152,Sem_7,82,72,57,87,61,68,74,71.57142857,501,C,Aerospace Engineering
SID20131153,Sem_7,45,98,77,100,70,76,71,76.71428571,537,C,Aerospace Engineering
SID20131154,Sem_7,62,84,81,43,83,51,64,66.85714286,468,C,Aerospace Engineering
SID20131155,Sem_7,44,85,89,47,85,40,64,64.85714286,454,C,Aerospace Engineering
SID20131156,Sem_7,64,78,100,71,69,71,98,78.71428571,551,C,Aerospace Engineering
SID20131157,Sem_7,90,54,81,66,92,64,87,76.28571429,534,D,Aerospace Engineering
SID20131158,Sem_7,72,59,49,67,44,87,63,63,441,D,Aerospace Engineering
SID20131159,Sem_7,46,45,56,41,55,80,46,52.71428571,369,D,Aerospace Engineering
SID20131160,Sem_7,98,56,53,77,91,71,84,75.71428571,530,D,Aerospace Engineering
SID20131161,Sem_7,68,62,84,69,96,55,89,74.71428571,523,D,Aerospace Engineering
SID20131162,Sem_7,61,76,46,64,82,88,64,68.71428571,481,D,Aerospace Engineering
