Student_ID,Semster_Name,Paper 1,Paper 2,Paper 3,Paper 4,Paper 5,Paper 6,Paper 7,percentage,sum,section,Department_Name
SID20131143,Sem_8,68,42,70,54,54,49,93,61.42857143,430,A,Aerospace Engineering
SID20131144,Sem_8,98,51,98,51,,55,95,74.66666667,448,A,Aerospace Engineering
SID20131145,Sem_8,72,78,74,99,64,51,75,73.28571429,513,A,Aerospace Engineering
SID20131146,Sem_8,47,52,65,67,62,100,85,68.28571429,478,A,Aerospace Engineering
SID20131147,Sem_8,84,93,76,49,98,84,99,83.28571429,583,A,Aerospace Engineering
SID20131148,Sem_8,89,69,23,58,65,60,70,62,434,B,Aerospace Engineering
SID20131149,Sem_8,57,67,52,57,84,69,63,64.14285714,449,B,Aerospace Engineering
SID20131150,Sem_8,97,95,54,71,97,44,83,77.28571429,541,B,Aerospace Engineering
SID20131151,Sem_8,86,40,48,56,75,56,73,62,434,B,Aerospace Engineering
SID20131152,Sem_8,98,45,58,57,64,78,95,70.71428571,495,C,Aerospace Engineering
SID20131153,Sem_8,42,40,71,78,74,63,68,62.28571429,436,C,Aerospace Engineering
SID20131154,Sem_8,43,55,47,90,49,59,96,62.71428571,439,C,Aerospace Engineering
SID20131155,Sem_8,49,61,81,45,100,60,67,66.14285714,463,C,Aerospace Engineering
SID20131156,Sem_8,91,,84,58,80,46,76,72.5,435,C,Aerospace Engineering
SID20131157,Sem_8,71,42,67,91,96,42,71,68.57142857,480,D,Aerospace Engineering
SID20131158,Sem_8,40,55,47,100,100,91,62,70.71428571,495,D,Aerospace Engineering
SID20131159,Sem_8,66,67,91,71,53,85,90,74.71428571,523,D,Aerospace Engineering
SID20131160,Sem_8,80,47,82,65,52,79,57,66,462,D,Aerospace Engineering
SID20131161,Sem_8,40,99,75,80,49,83,71,71,497,D,Aerospace Engineering
SID20131162,Sem_8,73,85,76,66,66,62,86,73.42857143,514,D,Aerospace Engineering
