Student_ID,Semster_Name,Paper 1,Paper 2,Paper 3,Paper 4,Paper 5,Paper 6,Paper 7,percentage,sum,section,Department_Name
SID20131143,Sem_5,86,53,57,58,53,42,86,62.14285714,435,A,Aerospace Engineering
SID20131144,Sem_5,64,77,97,62,100,54,96,78.57142857,550,A,Aerospace Engineering
SID20131145,Sem_5,66,56,78,97,40,92,52,68.71428571,481,A,Aerospace Engineering
SID20131146,Sem_5,75,81,64,82,77,91,64,76.28571429,534,A,Aerospace Engineering
SID20131147,Sem_5,61,77,64,71,51,86,65,67.85714286,475,A,Aerospace Engineering
SID20131148,Sem_5,71,56,79,90,42,57,88,69,483,B,Aerospace Engineering
SID20131149,Sem_5,40,55,97,70,87,95,98,77.42857143,542,B,Aerospace Engineering
SID20131150,Sem_5,90,42,56,72,57,51,85,64.71428571,453,B,Aerospace Engineering
SID20131151,Sem_5,92,52,72,98,77,68,95,79.14285714,554,B,Aerospace Engineering
SID20131152,Sem_5,61,72,96,69,79,93,46,73.71428571,516,C,Aerospace Engineering
SID20131153,Sem_5,82,60,68,89,57,98,71,75,525,C,Aerospace Engineering
SID20131154,Sem_5,85,51,81,56,48,68,77,66.57142857,466,C,Aerospace Engineering
SID20131155,Sem_5,43,61,93,83,93,99,81,79,553,C,Aerospace Engineering
SID20131156,Sem_5,62,62,73,59,76,62,60,64.85714286,454,C,Aerospace Engineering
SID20131157,Sem_5,43,66,84,51,51,89,67,64.42857143,451,D,Aerospace Engineering
SID20131158,Sem_5,88,75,42,71,40,68,82,66.57142857,466,D,Aerospace Engineering
SID20131159,Sem_5,63,100,97,63,43,41,81,69.71428571,488,D,Aerospace Engineering
SID20131160,Sem_5,42,60,91,57,41,96,88,67.85714286,475,D,Aerospace Engineering
SID20131161,Sem_5,41,47,47,80,97,99,86,71,497,D,Aerospace Engineering
SID20131162,Sem_5,45,85,81,96,45,64,78,70.57142857,494,D,Aerospace Engineering
